Id,Name
1,Techno
2,"Minimal Techno"
3,"Industrial Techno"
4,"Deep Techno"
5,"Acid Techno"
6,"Berlin Techno"
7,"Dark Techno"
8,"Tech House"
9,"Dub Techno"
10,"Melodic Techno"
11,"Hardcore Techno"
12,"Nu Gabber"
13,"Raw Techno"
14,"Dark Disco"
15,"Dark Clubbing"
16,"Psytrance Techno"
17,Techno
18,"Peak-Time Techno"
19,"Hard Techno"
20,EBM
21,"Rave Techno"
22,Schranz
23,"Electro Techno"
24,"Progressive Techno"
25,"High-Tech Minimal"
26,"Progressive House"
27,"Hypnothic Techno"
28,"Groove Techno"
29,"Tribal Techno"
30,"Techno Trance"
